device,case_id,family,cells,rank,payload_bytes,consumers,reuse,working_records,cache,comparison,median_difference_us,ci_low,ci_high,winner,test_effect_mean_us,raw_p,test,multiple_testing_family,corrected_p
cpu,4,core,36,32,4608,1,16,1,warm,G minus F,7.676999999999964,3.2270000000000323,10.632999999999981,F,6.577636363636362,0.02734375,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,4,core,36,32,4608,1,16,1,warm,F minus D,-487.6819999999999,-529.3859999999999,-463.4289999999997,F,-494.71718181818176,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,4,core,36,32,4608,1,16,1,warm,E minus D,-481.72900000000004,-535.769,-475.20600000000013,E,-495.9571818181819,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,5,core,36,32,4608,1,32,1,warm,E minus C,-261.01099999999985,-268.8169999999999,-251.66000000000008,E,-261.6617272727273,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,5,core,36,32,4608,1,32,1,warm,D minus C,506.11099999999965,485.25499999999965,554.113,C,515.4777272727272,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,5,core,36,32,4608,1,32,1,warm,G minus F,3.0300000000002,-7.4360000000000355,15.937000000000012,unresolved,2.3730000000000473,0.62890625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,5,core,36,32,4608,1,32,1,warm,F minus D,-761.6239999999997,-797.2330000000003,-735.3789999999999,F,-774.6142727272727,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,5,core,36,32,4608,1,32,1,warm,E minus D,-761.6649999999997,-809.1180000000003,-736.9149999999997,E,-777.1394545454546,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,6,core,36,32,4608,1,64,1,warm,E minus C,-491.7349999999998,-495.2360000000001,-477.5039999999999,E,-488.37418181818197,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,6,core,36,32,4608,1,64,1,warm,D minus C,982.5930000000005,961.3280000000007,992.804000000001,C,975.8760909090913,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,6,core,36,32,4608,1,64,1,warm,G minus F,4.299000000000433,0.5049999999999955,11.85799999999972,F,4.771181818181803,0.115234375,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
