reader_grid,store_grid,estimate,ci_low,ci_high,n,source
3,1,0.32080188093997414,0.29044324964911283,0.3518053794819696,30,relayout_ro3.json
3,2,0.1732165334472017,0.15687246100653976,0.18966245131183868,30,relayout_ro3.json
3,3,0.038981553043876786,0.03579504825803199,0.04205524536188375,30,relayout_ro3.json
3,4,0.059559973544926655,0.05454299511788846,0.06458845224345622,30,relayout_ro3.json
3,6,0.031108325962170395,0.028742138075504235,0.033419605509705665,30,relayout_ro3.json
3,8,0.03301551584854325,0.03041901546588204,0.03563026891837364,30,relayout_ro3.json
3,12,0.0271535879058224,0.02509621916902005,0.029197392641975656,30,relayout_ro3.json
4,1,0.38944336631775783,0.35613731999023823,0.4219430067693703,30,relayout_ro4.json
4,2,0.22983023136718234,0.2098956097540245,0.2495486448984211,30,relayout_ro4.json
4,3,0.15097210265881242,0.13762561385079305,0.16496004620037236,30,relayout_ro4.json
4,4,0.04595223407722431,0.04238832967447306,0.04939060277832779,30,relayout_ro4.json
4,6,0.05102036369193128,0.04728270829474172,0.05473953976790873,30,relayout_ro4.json
4,8,0.033483169073784576,0.030900574501553247,0.036087079351627145,30,relayout_ro4.json
4,12,0.03481610467474226,0.03226721005425996,0.03734546644242246,30,relayout_ro4.json
6,1,0.47502321184852075,0.4372034323087971,0.5113371552234052,30,relayout.json
6,2,0.33152484306175684,0.3062250240688167,0.35616887895690763,30,relayout.json
6,3,0.23117162420556442,0.21439368677984064,0.24830833884451464,30,relayout.json
6,4,0.16403511461251746,0.1520797591334855,0.1765358481356421,30,relayout.json
6,6,0.059639032370780595,0.05546324338387756,0.06360261495325789,30,relayout.json
6,8,0.07567503959230892,0.07024505522812687,0.08108701910884189,30,relayout.json
6,12,0.05200744469536301,0.04825644294950043,0.05567734336442771,30,relayout.json
