key,suite,initial_state_index,decision_step,target_step,rgb_mae_0_1,unit
libero_goal_state_001,libero_goal,1,96,112,0.018288070436507934,decision nested in selected episode
libero_goal_state_010,libero_goal,10,0,16,0.01265016423235961,decision nested in selected episode
libero_goal_state_010,libero_goal,10,16,32,0.01652582908163265,decision nested in selected episode
libero_goal_state_010,libero_goal,10,32,48,0.019823867046818728,decision nested in selected episode
libero_goal_state_010,libero_goal,10,48,64,0.018719753526410563,decision nested in selected episode
libero_goal_state_010,libero_goal,10,64,80,0.019977470154728557,decision nested in selected episode
libero_goal_state_010,libero_goal,10,80,96,0.036187443727491,decision nested in selected episode
libero_goal_state_010,libero_goal,10,96,112,0.027210728041216485,decision nested in selected episode
libero_goal_state_020,libero_goal,20,0,16,0.012572763480392156,decision nested in selected episode
libero_goal_state_020,libero_goal,20,16,32,0.013294797085500867,decision nested in selected episode
libero_goal_state_020,libero_goal,20,32,48,0.015936192185207414,decision nested in selected episode
libero_goal_state_020,libero_goal,20,48,64,0.016764023317660394,decision nested in selected episode
libero_goal_state_020,libero_goal,20,64,80,0.01715378859877284,decision nested in selected episode
libero_goal_state_020,libero_goal,20,80,96,0.018724937891823393,decision nested in selected episode
libero_goal_state_020,libero_goal,20,96,112,0.023336912890156065,decision nested in selected episode
libero_goal_state_030,libero_goal,30,0,16,0.012209388963918901,decision nested in selected episode
libero_goal_state_030,libero_goal,30,16,32,0.018200848047552353,decision nested in selected episode
libero_goal_state_030,libero_goal,30,32,48,0.023176353874883284,decision nested in selected episode
libero_goal_state_030,libero_goal,30,48,64,0.02205111211151127,decision nested in selected episode
libero_goal_state_030,libero_goal,30,64,80,0.019301757161197815,decision nested in selected episode
libero_goal_state_030,libero_goal,30,80,96,0.024282994447779115,decision nested in selected episode
libero_goal_state_040,libero_goal,40,0,16,0.013538227791116447,decision nested in selected episode
libero_goal_state_040,libero_goal,40,16,32,0.01855658930238762,decision nested in selected episode
libero_goal_state_040,libero_goal,40,32,48,0.02543421014239029,decision nested in selected episode
libero_goal_state_040,libero_goal,40,48,64,0.014537768232292919,decision nested in selected episode
libero_goal_state_040,libero_goal,40,64,80,0.038385406245831664,decision nested in selected episode
libero_goal_state_040,libero_goal,40,80,96,0.02575186324529812,decision nested in selected episode
