device,case_id,family,cells,rank,consumers,reuse,working_records,cache,arm,payload_bytes_per_record,stored_payload_bytes,serialized_metadata_bytes,resident_metadata_bytes,record_headers_bytes,read_write_ratio,implementation_sha256,median_total_us,ci_low,ci_high,median_write_us,read_p50_us,read_p95_us,read_p99_us,energy_gross_mJ_per_amortized_read,max_peak_gpu_bytes,blocks
cpu,3,core,36,32,1,8,1,warm,A,4608,4608,0,0,16,8.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,196.873,183.869,205.048,25.676,19.7215,24.574149999999996,25.47663,,,11
cpu,3,core,36,32,1,8,1,warm,B,4608,4608,0,0,16,8.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,167.139,162.94899999999998,181.57500000000002,6.651,19.673000000000002,21.54045,21.92524,,,11
cpu,3,core,36,32,1,8,1,warm,C,4608,4608,36,288,16,8.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,301.658,293.56300000000005,319.816,37.088,31.886,37.610800000000005,38.123760000000004,,,11
cpu,3,core,36,32,1,8,1,warm,D,4608,4608,36,288,16,8.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,492.52000000000004,474.5450000000001,527.127,38.446,54.239999999999995,64.49055,65.84211,,,11
cpu,3,core,36,32,1,8,1,warm,E,4608,4608,0,0,16,8.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,206.52999999999997,195.50799999999998,229.954,37.275,19.592,24.582099999999997,25.700419999999998,,,11
cpu,3,core,36,32,1,8,1,warm,F,4608,4608,0,0,16,8.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,206.751,194.837,217.03199999999998,36.847,19.646,24.54815,25.520030000000002,,,11
cpu,3,core,36,32,1,8,1,warm,G,4608,4608,0,0,16,8.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,210.71899999999997,203.855,227.723,45.795,19.506999999999998,25.202849999999998,26.330969999999997,,,11
cpu,4,core,36,32,1,16,1,warm,A,4608,4608,0,0,16,16.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,290.282,288.74600000000004,315.403,22.274,16.414,19.7975,21.0227,,,11
cpu,4,core,36,32,1,16,1,warm,B,4608,4608,0,0,16,16.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,280.882,271.47499999999997,297.692,5.684,16.445,19.3325,20.108900000000002,,,11
cpu,4,core,36,32,1,16,1,warm,C,4608,4608,36,288,16,16.0,f6df578e0ec77131fad1ca4cd66f5bdfd621326ec0ae813c7be659c1caaf4237,469.5439999999999,460.40200000000004,506.894,29.623,26.8035,30.716250000000002,32.618,,,11
