arm,estimand,estimate,ci_low,ci_high,n,sample_unit,source
natural,ratio_of_means,0.05200744469536301,0.04825644294950043,0.05567734336442771,30,video,relayout.json
natural,mean_of_ratios,0.05275670685473591,0.049162074488345316,0.056231717073055305,30,video,relayout.json
permuted,ratio_of_means,1.0729908720974883,0.950271857623368,1.218640760183499,30,video,relayout.json
permuted,mean_of_ratios,1.1208015543396634,0.9855298055924955,1.270887765164492,30,video,relayout.json
permuted+inverse,ratio_of_means,0.05200744469536301,0.04825644294950043,0.05567734336442771,30,video,relayout.json
permuted+inverse,mean_of_ratios,0.05275670685473591,0.049162074488345316,0.056231717073055305,30,video,relayout.json
