encoder,rung,age,n,latent_minus_symbolic,ci_low,ci_high,source_main,source_baseline
DINOv2,jpeg_q50_112,40,81,1.015520055082653,0.6359998835492885,1.5245229413907915,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,0,90,1.9423132528447966,1.5709823186842453,2.4439113064195355,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,1,90,1.9459958888161335,1.5744833472718869,2.423799062770997,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,2,90,1.928826225116508,1.5723275159070018,2.432470754015941,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,3,90,1.9205844136413386,1.5355609997824748,2.4499910517797994,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,5,90,1.7872431956021262,1.4186647502846637,2.301770854242695,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,8,90,1.660302875292742,1.27301360087227,2.1809496510849766,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,12,90,1.5440383417723709,1.1702109490293269,2.075155656803973,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,20,90,1.2644218738148643,0.8710882151748504,1.8219598775052037,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,30,88,1.034440192232318,0.6735315888330297,1.5301921433390782,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q75_112,40,81,1.0121681740832962,0.632197387994125,1.5144295945225703,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,0,90,1.639113605289747,1.3185385803859726,2.076807535844741,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,1,90,1.6650848338673407,1.3415591571705243,2.1213210305613264,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,2,90,1.698880420275908,1.3739130900179624,2.1357071073793423,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,3,90,1.709761810958908,1.3635596385276054,2.1441316296096744,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,5,90,1.614772053952653,1.2702829972876635,2.0948682738035904,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,8,90,1.5255561927762913,1.1576340320637724,1.9971598629747902,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,12,90,1.417540347267481,1.0456881281393087,1.9241310286045084,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,20,90,1.171605173433738,0.7994537638985476,1.6892016802628371,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,30,88,0.9549631347359571,0.6069953094744488,1.4317036050153567,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q25_224,40,81,0.9132164194545063,0.5382770418654887,1.40995262114886,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,0,90,0.6184766184721814,0.38312670286234124,0.8862031769773157,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q50_224,1,90,0.7548328499654366,0.5120893020121718,1.0450810066997032,q1q3_all90.json,e21_floor_dinov2.json
