device,cells,rank,consumers,arm,mode,domain_id,domain_name,gross_median_mJ,ci_low,ci_high,idle_subtracted_median_mJ,idle_subtracted_ci_low,idle_subtracted_ci_high,blocks,energy_kind,note
cpu,144,32,3,C,read,intel-rapl:1:0,dram,0.1385122411581455,0.13714324470971243,0.1414159679523011,-0.015326001456823507,-0.03811280067418858,-0.004778533357757669,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,C,write,intel-rapl:0,package-1,2.6363355201254572,1.8953606929133857,2.7585614715189872,1.2065147050451344,0.4349847787014549,1.5534949891562013,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,C,write,intel-rapl:0:0,dram,0.30792869837950865,0.1871775433070866,0.3100981540084388,0.11310863340454978,-0.01170255257480123,0.1487187417688311,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,C,write,intel-rapl:1,package-0,2.4103239905610905,1.6980494488188975,2.536897595399896,1.1504599944750902,0.31938546396957,1.2800101441936078,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,C,write,intel-rapl:1:0,dram,0.20003620780590717,0.19860726607422896,0.2414183179356483,-0.026498478908591982,-0.05467169473749718,-0.00845430913959468,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,read,intel-rapl:0,package-1,3.180160686095932,3.048477009402487,3.1893992389649926,1.3810251669158986,1.3559202219646127,1.7375969734458618,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,read,intel-rapl:0:0,dram,0.3579642683667274,0.3533932432432433,0.35896036529680364,0.13566377791693254,0.09607141258769436,0.17379891949465143,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,read,intel-rapl:1,package-0,2.7884601092896175,2.750770480480481,2.80619381255687,1.1243329994091198,0.9080129666842918,1.428210322588834,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,read,intel-rapl:1:0,dram,0.23073208977858659,0.2275748648648649,0.2313199573430835,-0.017474350141620652,-0.02187779952498773,-0.0012102182208679967,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,write,intel-rapl:0,package-1,2.636724790136411,2.618239333159677,2.7633363492898475,1.2019825692602493,1.0811253688255793,1.3984797686042916,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,write,intel-rapl:0:0,dram,0.30912541972717733,0.3066017973430581,0.3101561809573909,0.11697104408972997,0.08289087039439597,0.15028741940666268,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,write,intel-rapl:1,package-0,2.4014890407358735,2.3477804564533056,2.589660258098499,1.1291646937550741,0.7831137933968296,1.211120328742174,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,D,write,intel-rapl:1:0,dram,0.1989193166885677,0.19747561865069027,0.2000629180932315,-0.015474777839214025,-0.01909551639806995,-0.0007502018969365144,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,read,intel-rapl:0,package-1,1.6243692901234568,1.5609984384662956,1.6334728159851302,0.8235594062225435,0.7088317847651389,0.894985187821493,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,read,intel-rapl:0:0,dram,0.18157513914656773,0.18111905422057917,0.1824006812200031,0.05969657959283577,0.056643863155734324,0.07886886845938339,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,read,intel-rapl:1,package-0,1.4569960192069393,1.3622694805194804,1.586996651234568,0.7156142168271298,0.5373556989946765,0.9003893204735258,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,read,intel-rapl:1:0,dram,0.11713062770562771,0.11696733024691358,0.1175085501858736,-0.016301975502489505,-0.020557322970366474,-0.01121809724654193,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,write,intel-rapl:0,package-1,1.788803158828749,1.7708191181657849,1.8451572911169745,0.9239448338908625,0.8107538262420374,0.9434277697441654,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,write,intel-rapl:0:0,dram,0.20728019400352735,0.20642274083172485,0.20935233362910383,0.06788652368784118,0.06457445446187163,0.0904180603317204,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,write,intel-rapl:1,package-0,1.6118522251539138,1.575662661934339,1.6413388007054674,0.7181375892236501,0.6732214962437988,0.8459510823185079,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,E,write,intel-rapl:1:0,dram,0.1338210405643739,0.13273844534128795,0.13445753327417923,-0.01858536845364843,-0.023259832741163323,-0.012961720863321488,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,F,read,intel-rapl:0,package-1,1.6261055633038897,1.5693733240223464,1.6262682473268246,0.8396990473536827,0.7167927433143423,0.901474729872451,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,F,read,intel-rapl:0:0,dram,0.1822525646985898,0.18141634957463262,0.18291405959031656,0.07393201201190555,0.06319355225156041,0.07844457346915366,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,F,read,intel-rapl:1,package-0,1.4202975980164265,1.4118976798143852,1.4314990223463688,0.6605812302530292,0.5979743408643537,0.7436624661887553,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
cpu,144,32,3,F,read,intel-rapl:1:0,dram,0.11754360645561764,0.11733763341067285,0.11763527041686038,-0.01383765807734575,-0.03228003109365523,-0.007967410722874844,5,measured cumulative-counter energy,gross and adjacent-idle-subtracted estimates; negative net values retained; domain not whole-system; throughput-block cost
