cells,rank,payload_bytes,consumers,reuse,comparison,median_difference_us,ci_low,ci_high,winner,inference
36,16,2304,3,8,G minus F,-14.334000000000003,-15.748000000000005,-14.210999999999999,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,16,E minus C,-14.117000000000019,-29.208,-8.003000000000014,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,16,G minus C,-47.541,-60.667,-38.54299999999999,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,16,G minus F,-32.74600000000001,-37.07900000000001,-32.07900000000001,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,32,E minus C,-28.42700000000002,-42.416,-24.412000000000035,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,32,G minus C,-98.499,-106.58699999999999,-95.70899999999997,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,32,G minus F,-68.751,-70.37900000000002,-65.49999999999997,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,64,E minus C,-57.533000000000015,-61.83699999999999,-51.41899999999998,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,64,G minus C,-199.704,-202.42200000000003,-190.63600000000002,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,64,G minus F,-139.21000000000004,-140.39,-132.08499999999998,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,128,E minus C,-120.43399999999974,-170.66400000000021,-54.99800000000005,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,128,G minus C,-395.5790000000002,-436.61,-373.4699999999998,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
36,16,2304,3,128,G minus F,-278.59399999999994,-294.30600000000004,-260.0049999999999,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,1,E minus C,-0.7919999999999998,-0.9589999999999996,-0.5839999999999996,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,1,G minus C,-0.33200000000000074,-0.6660000000000004,-0.16699999999999982,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,1,G minus F,0.4169999999999998,0.20899999999999963,0.7490000000000006,F,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,2,E minus C,-2.625,-2.7500000000000036,-2.4989999999999988,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
144,64,36864,1,2,G minus C,-2.251999999999999,-2.3760000000000012,-2.125,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
