suite,task_id,task,initial_state_index,arm,success,steps,decisions,acquisitions,wall_seconds,inference_median_seconds,inference_p95_seconds,inference_total_seconds,gpu_board_gross_inference_total_mJ,gpu_board_gross_episode_mJ,peak_gpu_allocated_bytes
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,29,fresh,1,76,5,5,43.59245648048818,1.1711706966161728,1.194235447049141,5.883569396100938,,5216974.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,30,fresh,1,77,5,5,44.972450122237206,1.1849352596327662,1.1895506501197814,5.8999247485771775,,5341073.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,31,fresh,1,78,5,5,45.846617131493986,1.1883319607004523,1.2127038249745965,5.9691861644387245,,5388576.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,32,fresh,1,76,5,5,42.894580624997616,1.174878510646522,1.1934608967974782,5.889223640784621,,5118325.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,33,fresh,1,78,5,5,46.07369914650917,1.1786890178918839,1.1988848013803364,5.9035238502547145,,5428048.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,34,fresh,1,76,5,5,44.6113858288154,1.182825019583106,1.2057083507999777,5.938208293169737,,5293532.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,35,fresh,1,80,5,5,46.577778382226825,1.173469752073288,1.2132569760084153,5.913304514251649,,5464126.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,36,fresh,1,78,5,5,45.274138626642525,1.1830464247614145,1.1912772251293062,5.899832606315613,,5341903.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,37,fresh,1,75,5,5,44.42959166131914,1.1906370837241411,1.1971727423369884,5.946846570819616,,5285744.0,5107576832
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,38,fresh,1,79,5,5,45.4205764438957,1.1919360803440213,1.201745806261897,5.957452589645982,,5362954.0,5107576832
